Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2000","2000","ha","2520","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2000","2000","kg/ha","5151.8","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2000","2000","t","12980.95","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2001","2001","ha","2531","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2001","2001","kg/ha","5152","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2001","2001","t","13041.53","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2002","2002","ha","2523","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2002","2002","kg/ha","5186.5","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2002","2002","t","13086.67","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2003","2003","ha","2531","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2003","2003","kg/ha","5215.1","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2003","2003","t","13200","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2004","2004","ha","2600","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2004","2004","kg/ha","5192.3","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2004","2004","t","13500","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2005","2005","ha","2626","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2005","2005","kg/ha","5227.3","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2005","2005","t","13725.2","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2006","2006","ha","2660","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2006","2006","kg/ha","5220.5","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2006","2006","t","13886.94","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2007","2007","ha","2650","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2007","2007","kg/ha","5283","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2007","2007","t","14000","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2008","2008","ha","2700","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2008","2008","kg/ha","5370.4","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2008","2008","t","14500","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2009","2009","ha","2977","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2009","2009","kg/ha","5158.5","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2009","2009","t","15359.39","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2010","2010","ha","3182","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2010","2010","kg/ha","5088.7","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2010","2010","t","16194.5","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2011","2011","ha","3412","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2011","2011","kg/ha","5009","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2011","2011","t","17088.34","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2012","2012","ha","4000","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01312","Bananas","2012","2012","kg/ha","4625","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2012","2012","t","18500","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2013","2013","ha","3895","I","Imputed value",""
